The tendency for an organism to sustain its chemical equilibrium in its internal environment even though it is constantly changing,Homeostasis
A compound formed from the combination of a cation and an anion,Salt
The separation of anions and cations,Dissociation
A compound that releases on or more hydrogen ions when it dissociates in water,Acid
A compound that releases on or more hydroxyl ions when it dissociates in water,Base
A measure of the concentration of hydrogen ions in a solution,pH
What is the pH of pure water?,7
An ion that is obtained by removing one electron from a hydrogen atom,Hydronium
Substance that resists changes in the pH of a solution,Buffer
A pair of buffers that work together to resist pH changes in either direction,Buffer System
