Movement of a substance from an area of greater concentration to lesser concentration that does not require energy,Passive Transport
Diffusion of small molecules directly through the PM,Simple Diffusion
Diffusion of ions or large molecules using pores or carrier proteins,Facilitated Diffusion
The passive movement of water through a semipermeable membrane into a solution that has a low water concentration, Osmosis
A measure of the osmotic pressure gradient of two solutions separated by a semipermeable membrane,Tonicity
The concentration inside and outside of the cell is equal and balanced,Isotonic
When the solution has a higher solute concentration than the cell,Hypertonic Solution
When the solution has a lower solute concentration than the cell,Hypotonic Solution
Transport that requires ATP,Active Transport
Ingestion of large particles by a cell,Phagocytosis
Ingestion of minute amounts of fluid and dissolved substances,Pinocytosis
